"","HEK_Exosome_PRTF_1","HEK_Exosome_SDPR_1","HEK_Exosome_CAV_1","HEK_Exosome_PN4.11_1","HEK_Exosome_PRKCA4_1","HEK_Exosome_SDPR_2","HEK_Exosome_PRTF_2","HEK_Exosome_CAV_2","HEK_Exosome_PN4.11_2","HEK_Exosome_PRKCA4_2","HEK_Exosome_SDPR_3","HEK_Exosome_PRTF_3","HEK_Exosome_CAV_3","HEK_Exosome_PN4.11_3","HEK_Exosome_PRKCA4_3"
"hsa-miR-193b-5p",10,11,15,4,9,1,2,1,0,0,0,0,9,2,4
"hsa-miR-548d-1-3p",4,2,1,2,0,2,1,0,2,2,1,0,9,0,8
"hsa-miR-130b-5p",84,32,29,30,29,4,15,6,21,24,8,0,313,48,249
"hsa-miR-29c-3p",30,15,18,19,21,5,5,0,2,6,0,0,6,3,7
"hsa-miR-4286-5p",1,2,3,16,4,3,3,0,2,2,0,0,4,4,8
"hsa-miR-625-3p",86,47,8,62,13,10,21,1,22,14,1,2,55,5,47
"hsa-miR-24-1-3p",3054,2296,473,2214,590,88,308,93,93,247,19,6,577,184,433
"hsa-miR-3648-2-3p",2,6,10,3,13,54,9,10,11,24,4,0,11,2,69
"hsa-miR-7641-2-5p",112,282,120,250,126,199,214,54,171,317,20,0,210,60,202
"hsa-miR-424-5p",365,204,41,175,77,5,26,4,14,34,0,1,102,17,78
"hsa-miR-548am-3p",4,3,0,6,4,2,1,1,2,4,0,0,0,1,1
"hsa-miR-652-3p",205,152,64,183,55,47,32,18,29,61,1,1,84,13,99
"hsa-miR-138-1-5p",10,13,14,15,6,6,5,3,0,1,0,0,3,0,6
"hsa-miR-3913-1-5p",2,2,0,2,4,2,0,2,0,1,0,0,3,0,2
"hsa-miR-3912-3p",4,4,0,1,4,0,1,1,5,4,1,0,1,4,6
"hsa-miR-128-1-5p",3,2,0,6,0,0,2,1,2,1,0,0,5,0,7
"hsa-miR-4683-3p",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-629-3p",1,1,2,1,0,2,1,0,1,1,0,0,7,0,1
"hsa-miR-195-3p",3,2,11,6,11,6,2,0,1,2,0,0,10,5,18
"hsa-miR-548x-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"hsa-miR-585-3p",1,0,0,1,0,0,0,0,0,2,0,0,0,0,0
"hsa-let-7c-3p",0,1,1,1,2,0,0,0,0,0,0,0,2,0,1
"hsa-miR-3919-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"hsa-miR-671-5p",21,18,16,27,22,11,4,1,5,9,1,1,16,3,10
"hsa-miR-218-1-3p",21,23,2,12,6,2,6,0,1,3,1,0,6,1,9
"hsa-miR-5100-3p",5,7,5,8,3,0,3,0,4,4,2,0,18,3,18
"hsa-miR-486-1-3p",2,2,0,1,0,1,0,1,1,1,0,0,4,0,2
"hsa-miR-125a-3p",53,30,12,16,18,5,6,0,6,9,1,0,15,2,15
"hsa-miR-676-3p",84,37,21,38,48,3,15,7,5,9,1,0,38,4,26
"hsa-miR-887-3p",1,2,3,3,4,1,1,0,1,1,0,0,0,0,3
"hsa-miR-484-5p",1789,1139,167,887,132,74,161,24,87,230,2,3,895,31,549
