"","PC3_Exosome_GFP_4.3","PC3_Exosome_CAV1_4.3","PC3_Exosome_CAV2_4.3","PC3_Exosome_CAV3_4.3","PC3_Exosome_GFP_23.3","PC3_Exosome_CAV1_23.3","PC3_Exosome_CAV2_23.3","PC3_Exosome_CAV3_23.3","PC3_Exosome_GFP_6.3","PC3_Exosome_CAV1_6.3","PC3_Exosome_CAV2_6.3","PC3_Exosome_CAV3_6.3"
"hsa-miR-1273e-3p",2,0,0,0,1,0,1,1,0,1,5,1
"hsa-miR-1269a-3p",36,40,60,55,32,29,45,48,5,1,78,14
"hsa-miR-542-3p",280,162,50,80,137,99,27,71,26,5,88,63
"hsa-miR-9-3-5p",109,65,40,44,66,76,35,127,9,18,37,42
"hsa-miR-1-2-3p",8,5,0,0,2,2,2,7,0,0,20,0
"hsa-miR-106b-5p",195,153,92,92,200,183,171,278,26,10,275,102
"hsa-miR-548f-4-3p",12,10,0,1,1,1,3,3,0,0,3,3
"hsa-miR-301a-3p",6,3,9,4,9,5,15,4,0,0,6,4
"hsa-miR-191-3p",12,3,14,9,7,3,7,6,0,0,6,2
"hsa-miR-548l-5p",5,11,4,1,1,3,3,4,0,0,3,0
"hsa-miR-224-5p",9,5,0,1,12,9,0,6,1,2,1,1
"hsa-miR-550a-3-5p",7,4,6,4,5,6,2,5,0,0,5,2
"hsa-miR-548h-1-5p",1,2,1,0,1,0,0,2,0,0,0,2
"hsa-miR-615-3p",97,83,63,132,62,109,19,45,11,7,147,16
"hsa-miR-100-5p",195796,373477,315309,246024,252488,241103,291642,374914,40126,720,185841,94823
"hsa-miR-4485-5p",4,5,2,2,0,10,6,4,2,0,27,1
"hsa-miR-4448-3p",41,17,16,13,16,16,12,47,44,1,13,166
"hsa-miR-4454-5p",113,132,146,131,213,290,395,342,6,0,212,24
"hsa-miR-378h-5p",10,17,10,7,12,14,12,22,1,1,47,3
"hsa-miR-363-3p",92,3,4,9,113,8,2,12,7,2,1,13
"hsa-miR-7974-3p",3,4,3,2,1,6,4,10,0,5,4,1
"hsa-miR-103a-1-3p",1852,1765,1389,940,3443,1756,1911,3311,341,126,9319,1001
"hsa-miR-98-3p",90,33,40,16,61,20,31,49,14,0,37,22
"hsa-miR-130a-3p",76,29,50,97,61,50,36,71,7,1,204,16
"hsa-miR-548h-4-5p",1,2,1,0,1,0,1,2,0,0,0,2
"hsa-miR-28-3p",428,447,465,299,308,343,233,348,74,10,1125,95
"hsa-miR-15b-3p",329,274,130,155,184,236,138,240,32,3,236,65
"hsa-miR-128-1-3p",2852,2452,2548,4185,1432,2457,1316,3139,329,116,3507,841
"hsa-miR-142-5p",5,4,0,2,2,0,1,1,0,1,7,0
"hsa-miR-381-3p",27,17,24,20,26,8,21,31,4,0,19,5
"hsa-miR-130b-3p",24,18,24,36,18,27,13,28,2,0,81,3
"hsa-miR-4521-5p",16,2,2,1,2,27,4,47,1,18,4,8
"hsa-miR-92a-2-3p",8934,4435,2833,2023,3550,3994,1771,2517,1838,516,11627,1610
"hsa-miR-505-3p",31,23,27,25,19,31,26,39,3,1,42,15
"hsa-miR-296-3p",5,0,0,0,2,6,0,6,0,1,7,2
"hsa-miR-503-5p",317,228,222,299,267,200,109,287,23,4,630,70
"hsa-miR-429-3p",8000,3282,3134,2363,4351,2500,2971,4015,1015,36,3788,2154
"hsa-miR-185-3p",4,5,7,8,2,4,2,2,0,0,31,7
"hsa-miR-32-5p",150,94,110,116,222,125,85,164,25,9,152,60
"hsa-miR-1268a-3p",0,0,0,0,1,0,0,0,0,0,1,0
"hsa-miR-941-1-3p",58,101,103,54,94,56,91,123,12,4,63,19
"hsa-miR-378e-3p",51,47,65,84,40,91,52,67,7,1,88,14
"hsa-miR-3158-2-3p",5,12,9,7,4,4,5,5,0,0,6,2
"hsa-miR-22-3p",7242,4541,8603,7382,5004,5205,4566,6652,1628,35,23316,1973
"hsa-miR-31-3p",13,23,20,6,29,22,21,28,2,0,7,3
"hsa-miR-1304-3p",9,10,17,24,14,16,17,20,3,2,22,3
"hsa-miR-548b-5p",7,2,3,3,1,1,2,1,0,0,7,0
"hsa-miR-9-2-5p",109,65,40,44,66,76,35,127,9,18,37,42
"hsa-miR-548o-3p",103,128,95,77,111,57,64,108,11,4,26,26
"hsa-miR-335-3p",136,138,154,144,123,93,127,195,11,1,165,44
"hsa-miR-30d-3p",51,36,32,27,25,18,28,28,4,2,25,8
"hsa-miR-4746-5p",3,5,4,3,2,4,3,7,0,0,0,0
"hsa-miR-125a-5p",569,666,901,688,1458,618,610,1035,264,27,3039,480
"hsa-miR-362-5p",42,30,14,8,30,21,16,44,8,5,17,19
"hsa-miR-497-5p",6,2,1,3,1,2,5,3,0,0,8,2
"hsa-miR-6510-3p",4,17,25,23,10,5,4,27,4,0,14,4
"hsa-miR-26a-2-5p",6848,5256,2399,2910,7484,7068,2631,4964,1668,278,6173,2449
"hsa-miR-330-5p",27,13,20,28,25,15,24,20,2,2,23,9
"hsa-miR-934-5p",5,8,44,12,9,7,53,37,2,0,54,23
"hsa-let-7f-1-5p",18519,11821,8580,7449,21468,10610,11897,14439,2611,109,31351,5163
"hsa-miR-548o-2-3p",103,128,95,77,111,57,64,108,11,4,26,26
"hsa-miR-27a-3p",14732,8971,18330,21624,18691,17217,15895,21857,2064,34,20584,3853
"hsa-miR-874-3p",5,12,8,11,8,9,14,10,4,4,20,2
"hsa-miR-188-5p",1,2,0,3,3,1,2,4,0,0,7,1
"hsa-miR-1224-5p",6,5,10,26,6,6,11,10,0,0,12,2
"hsa-miR-378d-1-3p",208,161,133,191,84,187,110,154,17,3,301,33
"hsa-miR-1246-5p",2628,1637,1823,2320,987,3607,515,699,356,171,3948,1231
"hsa-miR-374a-5p",78,87,52,59,103,58,58,130,6,2,50,35
"hsa-miR-335-5p",83,34,34,36,43,18,30,46,15,1,314,36
"hsa-miR-212-5p",8,3,2,2,8,1,3,4,0,0,3,1
"hsa-miR-23b-3p",1210,637,447,636,1053,613,451,755,203,6,1814,251
"hsa-miR-143-3p",36,38,19,25,7,20,9,13,8,1,148,2
"hsa-miR-320c-2-3p",165,179,359,388,101,184,188,186,29,4,742,43
"hsa-miR-6087-3p",14,12,25,12,24,19,15,22,4,0,56,5
"hsa-miR-641-5p",8,5,8,3,8,12,6,16,2,1,8,3
"hsa-miR-550a-2-5p",7,4,7,4,5,6,4,6,0,1,6,2
"hsa-miR-1303-5p",4,4,2,5,13,4,7,12,1,0,16,17
"hsa-miR-148b-3p",3668,2395,1270,1132,1665,1554,911,1616,600,99,1999,806
"hsa-miR-4459-5p",2,1,0,1,0,2,1,0,0,0,0,1
"hsa-miR-135b-3p",14,8,3,2,11,1,5,11,0,1,7,0
"hsa-let-7g-5p",8987,6368,4651,4289,10261,6956,5971,8719,1227,56,20678,3064
"hsa-miR-4516-5p",1,4,1,5,0,4,2,2,1,0,17,1
"hsa-miR-346-5p",0,0,0,0,0,1,0,0,0,0,0,0
"hsa-miR-873-3p",6,11,10,11,4,13,3,7,0,0,30,3
"hsa-miR-328-3p",27,18,50,35,26,15,27,35,18,2,189,9
"hsa-miR-222-3p",2366,2922,5382,2856,1887,1966,3621,5153,345,28,19190,1465
"hsa-miR-708-5p",2,2,1,1,0,6,0,13,1,2,1,4
"hsa-miR-9-1-5p",109,65,40,44,66,76,35,127,9,18,37,42
"hsa-miR-148b-5p",66,66,59,50,91,57,54,95,9,3,33,22
"hsa-miR-548h-5-5p",1,2,1,0,1,0,0,2,0,0,0,2
"hsa-miR-27b-3p",11495,7133,6354,9458,10460,9125,6664,8748,1374,110,9967,2140
"hsa-miR-378g-5p",29,24,20,46,21,23,17,33,8,0,73,7
"hsa-miR-1262-5p",2,1,2,2,0,0,0,1,0,0,6,0
"hsa-miR-1273f-5p",1,3,1,5,8,3,0,6,2,0,18,1
"hsa-miR-548d-1-5p",13,13,2,8,7,8,1,7,0,0,22,0
"hsa-miR-203a-3p",1802,769,368,509,2052,827,346,744,185,7,649,219
"hsa-miR-19b-2-3p",700,235,169,54,566,194,228,301,115,14,264,253
"hsa-miR-592-5p",5,0,0,0,0,2,0,1,1,1,2,1
"hsa-miR-181a-1-3p",40,37,38,45,64,34,38,58,7,0,23,18
"hsa-miR-618-5p",1,0,0,0,0,0,1,1,0,0,0,0
"hsa-miR-1180-3p",179,206,195,183,101,131,85,143,37,6,202,29
"hsa-miR-548x-2-3p",32,11,16,17,22,19,16,27,0,0,15,6
"hsa-miR-566-3p",2,0,5,2,4,0,2,0,0,0,13,0
"hsa-miR-148a-5p",113,65,41,48,143,99,62,135,29,6,41,45
"hsa-miR-194-1-5p",25,16,23,27,60,14,16,43,5,0,37,7
"hsa-let-7a-1-5p",13617,10642,10944,10661,9265,7735,7159,11111,1944,70,40246,5820
"hsa-miR-548h-3-5p",1,2,1,0,1,0,0,2,0,0,0,2
"hsa-let-7a-3-5p",13651,10655,10966,10675,9278,7746,7173,11137,1947,72,40299,5833
"hsa-miR-210-3p",95,129,251,152,148,166,290,352,14,2,325,86
"hsa-miR-181a-2-3p",31,27,71,59,39,39,53,45,7,0,63,7
"hsa-miR-29b-2-3p",188,75,46,57,67,125,80,128,11,2,119,67
"hsa-miR-548k-5p",41,25,28,28,28,29,17,28,3,1,25,11
"hsa-miR-99a-5p",1054,1390,1216,1341,1521,1225,1137,1865,283,71,739,628
"hsa-miR-566-5p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-16-2-3p",973,418,527,406,626,374,269,575,95,15,1308,225
"hsa-miR-151a-3p",9055,15603,26263,17326,22376,9517,16809,24374,1889,143,7543,2201
