"","HEK_Pellet_SDPR_1","HEK_Pellet_PRTF_1","HEK_Pellet_CAV_1","HEK_Pellet_PN4.11_1","HEK_Pellet_PRKCA4_1","HEK_Pellet_SDPR_2","HEK_Pellet_PRTF_2","HEK_Pellet_CAV_2","HEK_Pellet_PN4.11_2","HEK_Pellet_PRKCA4_2","HEK_Pellet_SDPR_3","HEK_Pellet_PRTF_3","HEK_Pellet_CAV_3","HEK_Pellet_PN4.11_3","HEK_Pellet_PRKCA4_3"
"hsa-miR-708-3p",167,505,298,302,27,1,388,257,390,379,147,169,352,266,206
"hsa-miR-10b-3p",52,35,159,102,0,0,76,63,50,73,67,27,63,82,36
"hsa-miR-18a-3p",70,70,223,140,0,2,125,106,148,95,89,50,116,98,60
"hsa-miR-548e-3p",126,152,190,144,0,0,159,100,141,134,175,95,166,111,92
"hsa-miR-27a-5p",17,23,62,33,1,1,74,22,62,33,39,22,39,16,17
"hsa-miR-320c-1-3p",111,81,353,339,8,2,324,114,216,140,150,82,189,165,157
"hsa-miR-152-3p",169,181,372,222,0,1,329,157,281,135,218,78,242,176,153
"hsa-miR-937-3p",2,18,14,9,0,0,21,4,12,7,5,7,9,0,6
"hsa-miR-574-5p",129,177,114,73,1,1,152,150,131,75,156,33,145,110,124
"hsa-miR-760-3p",26,35,69,74,0,0,78,52,47,27,83,12,49,50,25
"hsa-miR-1285-1-3p",45,54,94,66,0,0,55,55,56,62,92,30,71,80,48
"hsa-miR-148a-3p",71796,119348,64808,58150,2850,226,144801,72893,151502,77845,82719,21152,109771,58390,43130
"hsa-miR-99b-5p",5273,5047,17488,13700,70,28,15983,4149,13852,7652,12715,4012,13217,7590,4378
"hsa-miR-935-3p",27,11,45,22,0,0,20,16,15,18,13,7,13,18,12
"hsa-miR-548j-5p",6,14,6,7,0,0,6,11,5,6,5,2,5,9,4
"hsa-miR-22-5p",39,37,32,32,0,1,22,43,9,30,37,28,29,23,22
"hsa-miR-92a-1-5p",42,52,228,91,0,0,94,44,51,31,46,16,67,57,36
"hsa-miR-548ab-5p",7,10,22,20,0,0,11,14,6,13,5,8,7,17,10
"hsa-miR-3065-5p",12,2,19,12,0,0,10,6,6,5,11,3,16,15,11
"hsa-miR-548u-3p",53,74,78,79,0,0,92,60,75,99,70,73,125,145,49
"hsa-miR-296-5p",40,12,104,136,0,0,55,36,26,70,26,19,36,43,24
"hsa-miR-19a-3p",2651,1021,2397,1867,2,3,900,2031,901,2032,356,606,786,1878,1348
"hsa-miR-1301-3p",135,149,528,304,0,3,386,125,223,123,199,54,279,164,115
"hsa-miR-361-5p",270,275,1265,531,1,1,334,357,271,275,238,124,222,200,177
"hsa-miR-183-5p",4103,5672,8839,5206,457,43,10777,4296,8913,4349,6173,1908,8110,4351,3721
"hsa-miR-1226-5p",0,1,6,6,0,0,7,4,1,2,8,1,17,9,4
"hsa-miR-128-2-3p",10980,30531,18534,16134,21,29,12506,26934,12168,15533,9176,3516,8638,7960,3986
"hsa-miR-7-1-3p",9,5,28,23,0,0,27,11,14,21,28,22,21,29,14
"hsa-miR-454-5p",70,95,147,90,0,0,159,102,89,65,79,19,72,56,28
"hsa-miR-181a-1-5p",3968,2910,5702,4067,10,20,3304,4945,3224,3950,2153,1276,3250,3498,3088
"hsa-miR-30c-1-3p",12,7,41,36,0,0,29,10,24,36,26,6,25,11,23
"hsa-miR-628-3p",19,7,18,11,0,0,6,12,12,15,13,7,6,9,5
"hsa-miR-301a-5p",177,169,230,185,1,1,176,163,140,164,134,68,171,132,82
"hsa-miR-2110-3p",16,41,43,30,0,0,27,29,24,15,33,4,28,10,4
"hsa-miR-3928-3p",6,11,24,33,0,0,36,9,24,13,21,5,27,12,10
"hsa-miR-222-5p",21,64,49,46,0,0,69,34,39,34,41,14,23,29,12
"hsa-miR-4664-3p",13,78,27,36,1,0,60,31,84,27,47,16,36,23,17
"hsa-let-7e-5p",975,1148,3101,2170,10,12,2977,1100,1347,1110,1374,506,1514,1007,798
"hsa-miR-532-5p",10333,19611,10478,9612,124,18,13383,12115,15136,13133,9547,4566,11181,11606,7241
"hsa-miR-574-3p",55,35,75,48,0,0,78,40,53,41,54,37,60,38,44
"hsa-miR-500a-5p",173,107,141,83,1,1,123,91,161,73,133,111,261,243,77
"hsa-miR-383-5p",9,9,20,23,0,0,6,10,4,6,3,2,7,6,3
"hsa-miR-3687-2-3p",5,9,7,6,0,0,3,4,5,2,3,4,11,7,1
"hsa-miR-6131-3p",56,26,115,16,0,1,29,14,168,7,80,3,117,13,8
"hsa-miR-3613-5p",1381,1104,1539,1397,2,4,662,1210,566,1421,456,536,725,923,1005
"hsa-miR-3611-3p",3,3,8,5,0,0,2,12,6,12,3,7,4,21,11
"hsa-miR-10a-5p",121144,239476,91842,80924,6930,188,129834,125864,168359,142305,87311,50803,146317,127343,78779
"hsa-miR-331-3p",208,127,238,258,0,0,282,138,221,366,264,193,289,306,319
"hsa-miR-378d-2-5p",151,745,400,448,8,2,438,236,394,374,271,208,351,271,226
"hsa-miR-29a-5p",2,2,1,2,0,0,1,2,0,1,1,0,2,2,3
"hsa-miR-365a-5p",8,12,14,23,0,0,25,12,21,10,17,10,29,19,14
"hsa-miR-3913-2-5p",12,10,23,15,0,0,12,10,17,18,6,4,12,10,10
"hsa-miR-6500-3p",10,11,30,20,0,0,30,12,25,11,36,12,45,15,15
"hsa-miR-186-5p",3702,2335,3520,2776,7,14,2839,4072,2748,3542,2288,2447,2435,3281,3174
"hsa-miR-217-5p",33,29,83,68,0,0,50,34,58,30,17,6,31,24,34
"hsa-miR-331-5p",75,66,173,135,0,0,142,111,103,112,65,48,62,63,39
"hsa-miR-24-2-3p",999,1058,2940,2564,31,50,1782,1095,1152,1595,1246,737,1470,1408,943
"hsa-miR-1276-5p",1,5,12,14,0,0,7,9,18,8,8,4,17,6,6
"hsa-miR-199a-1-5p",7,8,16,13,0,0,11,8,21,6,4,3,8,5,7
"hsa-miR-548g-5p",2,3,13,4,0,0,5,7,2,6,2,0,3,13,5
"hsa-miR-1268a-5p",3,2,18,11,0,0,4,1,0,3,17,7,5,12,7
"hsa-miR-522-3p",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-375-3p",6,52,63,31,2,1,104,31,32,42,21,22,26,18,14
"hsa-miR-548aq-3p",32,44,45,34,0,0,37,26,26,40,32,36,30,57,36
"hsa-miR-4497-5p",5,7,25,40,0,0,16,6,27,26,4,4,22,4,6
"hsa-miR-598-3p",393,379,704,598,0,0,504,442,368,482,341,145,389,352,303
"hsa-let-7c-5p",463,673,2194,1256,5,2,1691,704,817,577,514,196,834,576,494
"hsa-miR-25-5p",108,76,353,233,0,1,280,127,123,123,188,56,202,124,138
"hsa-miR-421-3p",385,412,723,423,2,0,517,473,547,315,322,164,523,378,210
"hsa-miR-4677-3p",43,80,111,77,2,0,78,57,70,63,89,33,75,86,62
"hsa-miR-93-3p",78,40,285,149,0,1,199,89,126,85,95,39,140,82,54
"hsa-miR-5585-3p",3,0,10,7,0,0,4,0,4,0,5,4,6,5,1
"hsa-miR-98-5p",32,47,165,80,9,5,135,44,51,50,48,32,59,46,32
"hsa-miR-556-5p",2,4,10,12,0,0,3,3,3,11,5,1,11,5,2
"hsa-let-7a-1-3p",250,544,366,306,1,2,212,411,210,384,127,41,165,239,73
"hsa-miR-149-5p",381,344,485,370,0,2,336,308,289,274,255,113,308,204,193
"hsa-miR-151b-3p",49,188,81,120,0,0,102,424,84,390,34,145,41,119,220
"hsa-miR-33a-5p",57,45,80,148,0,0,37,94,26,86,21,44,34,65,49
"hsa-miR-3909-3p",16,36,48,36,0,0,39,29,32,34,30,12,35,30,16
"hsa-miR-28-5p",121,131,754,571,0,3,308,248,203,293,163,103,243,224,168
"hsa-miR-185-5p",598,684,4212,2958,6,7,1629,607,975,689,1186,451,1334,822,581
"hsa-let-7f-1-3p",0,0,1,0,0,0,0,2,0,1,0,0,0,0,0
"hsa-miR-374a-3p",794,860,311,272,8,3,695,630,750,1058,582,749,762,1202,922
"hsa-miR-378c-5p",2812,6206,8544,8270,73,31,8650,3907,8373,6671,6260,4006,7520,5245,3924
"hsa-miR-10a-3p",471,378,742,608,3,2,496,474,451,689,474,210,632,483,303
"hsa-miR-1307-5p",235,280,323,543,1,1,398,649,297,590,344,423,352,480,805
"hsa-miR-31-5p",544,182,2171,1056,1,14,472,469,373,543,249,211,323,479,477
"hsa-miR-6868-3p",17,35,18,16,0,0,14,17,19,26,14,4,20,16,10
"hsa-miR-378f-3p",52,97,162,186,3,2,195,76,197,137,113,81,177,104,94
"hsa-miR-320e-3p",4,0,17,28,6,1,20,8,11,8,3,2,3,2,9
"hsa-miR-374b-5p",2681,1342,2649,2272,7,10,3093,2135,2823,3056,1740,1271,2730,2747,1640
"hsa-miR-1910-5p",3,5,18,11,0,0,6,5,1,6,2,0,3,3,1
"hsa-let-7b-3p",2,4,2,1,1,0,0,3,1,0,0,1,1,0,2
"hsa-miR-193b-3p",302,180,144,185,0,2,208,206,182,306,192,349,216,294,393
