"","HEK_Exosome_PRTF_1","HEK_Exosome_SDPR_1","HEK_Exosome_CAV_1","HEK_Exosome_PN4.11_1","HEK_Exosome_PRKCA4_1","HEK_Exosome_PRTF_2","HEK_Exosome_SDPR_2","HEK_Exosome_CAV_2","HEK_Exosome_PN4.11_2","HEK_Exosome_PRKCA4_2","HEK_Exosome_PRTF_3","HEK_Exosome_SDPR_3"
"hsa-miR-151b-3p",12,5,12,26,24,2,16,3,1,7,1,2
"hsa-miR-33a-5p",8,12,13,17,11,5,3,0,3,6,0,1
"hsa-miR-3909-3p",9,6,1,5,2,7,0,0,1,1,0,0
"hsa-miR-28-5p",69,86,11,122,16,28,10,7,14,56,0,0
"hsa-miR-185-5p",272,333,91,404,89,191,68,34,108,257,3,5
"hsa-let-7f-1-3p",0,0,1,1,0,0,0,0,0,0,0,0
"hsa-miR-374a-3p",18,17,39,34,54,4,37,6,7,13,0,4
"hsa-miR-378c-5p",6604,3330,1847,3963,2781,1610,1392,426,730,1649,11,103
"hsa-miR-10a-3p",741,393,94,306,173,58,26,22,46,103,1,9
"hsa-miR-1307-5p",101,40,103,59,117,18,25,21,9,21,2,7
"hsa-miR-31-5p",137,175,45,222,22,22,26,4,45,50,0,0
"hsa-miR-6868-3p",3,4,3,0,4,0,0,0,0,0,0,0
"hsa-miR-378f-3p",109,49,41,68,36,21,11,5,9,17,0,2
"hsa-miR-320e-3p",346,201,68,288,97,59,12,10,7,59,2,10
"hsa-miR-374b-5p",45,119,59,170,40,29,46,11,46,43,4,4
"hsa-miR-6723-3p",1,1,0,2,0,3,8,0,12,0,0,0
"hsa-let-7b-3p",0,3,1,3,0,0,0,0,1,0,0,0
"hsa-miR-193b-3p",16,29,16,23,26,6,13,3,6,6,0,1
"hsa-miR-378i-5p",1913,1225,671,1283,1117,451,530,127,270,440,10,45
"hsa-miR-543-3p",3,1,2,1,12,0,1,1,0,0,0,1
"hsa-miR-4461-3p",3,8,1,9,0,7,14,1,17,8,0,0
"hsa-miR-218-1-5p",5087,8260,6694,6579,7666,2063,7604,2467,1302,1839,170,790
"hsa-miR-21-3p",20,15,10,61,27,4,5,1,3,3,0,3
"hsa-miR-193b-5p",10,11,15,4,9,2,1,1,0,0,0,0
"hsa-miR-130b-5p",84,32,29,30,29,15,4,6,21,24,0,8
"hsa-miR-29c-3p",30,15,18,19,21,5,5,0,2,6,0,0
"hsa-miR-4286-5p",1,2,3,16,4,3,3,0,2,2,0,0
"hsa-miR-625-3p",86,47,8,62,13,21,10,1,22,14,2,1
"hsa-miR-24-1-3p",3054,2296,473,2214,590,308,88,93,93,247,6,19
"hsa-miR-3648-2-3p",2,6,10,3,13,9,54,10,11,24,0,4
"hsa-miR-7641-2-5p",112,282,120,250,126,214,199,54,171,317,0,20
"hsa-miR-424-5p",365,204,41,175,77,26,5,4,14,34,1,0
"hsa-miR-652-3p",205,152,64,183,55,32,47,18,29,61,1,1
"hsa-miR-138-1-5p",10,13,14,15,6,5,6,3,0,1,0,0
"hsa-miR-3912-3p",4,4,0,1,4,1,0,1,5,4,0,1
"hsa-miR-4683-3p",0,2,0,0,0,0,0,0,0,0,0,0
"hsa-miR-195-3p",3,2,11,6,11,2,6,0,1,2,0,0
"hsa-miR-548x-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-585-3p",1,0,0,1,0,0,0,0,0,2,0,0
"hsa-miR-671-5p",21,18,16,27,22,4,11,1,5,9,1,1
"hsa-miR-218-1-3p",21,23,2,12,6,6,2,0,1,3,0,1
"hsa-miR-5100-3p",5,7,5,8,3,3,0,0,4,4,0,2
"hsa-miR-125a-3p",53,30,12,16,18,6,5,0,6,9,0,1
"hsa-miR-676-3p",84,37,21,38,48,15,3,7,5,9,0,1
"hsa-miR-484-5p",1789,1139,167,887,132,161,74,24,87,230,3,2
"hsa-miR-27b-5p",3,4,3,6,2,2,4,0,1,1,0,0
"hsa-miR-126-3p",73,107,14,155,6,21,11,5,36,59,1,1
"hsa-miR-7-3-5p",5763,3534,1333,6399,1917,3190,1990,300,2358,2754,56,71
"hsa-miR-32-3p",5,8,2,8,6,0,2,0,3,3,0,0
"hsa-miR-216b-5p",18,15,8,12,5,2,1,1,1,8,0,0
"hsa-miR-576-5p",18,8,13,13,13,4,3,6,10,7,1,2
"hsa-miR-6516-3p",12,23,1,17,3,19,2,0,10,16,0,0
"hsa-miR-1304-5p",21,9,8,26,6,14,0,1,2,12,0,1
"hsa-miR-29a-3p",506,359,244,472,376,72,38,31,22,68,4,8
"hsa-miR-548f-1-3p",6,7,9,13,20,1,5,3,1,5,0,1
"hsa-miR-16-1-5p",726,618,69,663,62,107,25,10,43,100,3,5
"hsa-let-7a-3-3p",85,53,57,49,136,9,15,14,15,22,2,8
"hsa-miR-140-3p",805,880,476,926,545,259,320,47,241,335,8,15
"hsa-miR-30a-3p",249,213,125,185,173,72,145,29,83,92,3,16
"hsa-miR-651-5p",7,2,0,3,1,1,6,0,3,1,0,0
"hsa-miR-182-3p",12,7,4,10,10,2,0,2,0,1,0,0
"hsa-miR-181b-1-5p",887,604,274,506,403,203,141,42,144,246,3,12
"hsa-miR-196a-2-5p",1404,843,225,690,428,177,103,26,85,203,0,18
"hsa-miR-1273e-3p",31,45,3,45,11,14,7,4,13,22,0,0
"hsa-miR-1269a-3p",0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-542-3p",222,180,39,164,75,46,28,12,15,29,2,3
"hsa-miR-9-3-5p",318,338,345,331,799,64,261,69,54,102,12,33
"hsa-miR-1-2-3p",14,17,4,8,8,7,9,2,3,12,0,0
"hsa-miR-106b-5p",402,538,172,657,213,205,146,45,195,341,8,18
"hsa-miR-548f-4-3p",5,5,4,10,12,1,5,3,0,4,0,1
"hsa-miR-301a-3p",4,6,3,12,7,0,2,0,2,3,0,1
"hsa-miR-191-3p",11,13,3,5,10,3,0,0,2,2,0,1
"hsa-miR-548l-5p",7,2,4,3,11,4,2,0,0,6,0,1
"hsa-miR-224-5p",371,355,263,320,283,67,105,33,27,87,1,5
"hsa-miR-550a-3-5p",11,13,1,7,9,2,3,1,4,3,0,0
"hsa-miR-548h-1-5p",9,12,11,14,26,6,6,6,1,7,0,3
"hsa-miR-615-3p",890,393,208,279,433,61,24,16,25,100,2,59
"hsa-miR-100-5p",313,1279,153,1251,166,153,54,417,132,284,138,174
"hsa-miR-4485-5p",1,2,0,3,0,0,1,0,1,1,0,0
"hsa-miR-4448-3p",59,45,33,66,91,219,241,19,186,207,0,6
"hsa-miR-4454-5p",13,10,5,18,3,2,2,0,0,4,1,1
"hsa-miR-378h-5p",31,13,7,10,15,11,3,3,5,10,0,0
"hsa-miR-363-3p",37,61,17,19,19,7,10,1,10,12,1,1
"hsa-miR-7974-3p",0,0,15,5,2,0,0,3,1,1,2,0
"hsa-miR-641-3p",2,2,8,3,13,3,5,2,0,1,0,0
